"draw","year","prev_est"
"150",2011,0.23254452990587
"150",2012,0.221219447761672
"150",2013,0.225155452495407
"150",2014,0.2120146671516
"150",2015,0.201731526697947
"150",2016,0.199357824581581
"150",2017,0.190776364320759
"150",2018,0.1770373297991
"150",2019,0.170108673831448
"150",2020,0.158586317472842
"150",2021,0.148861497352949
"150",2022,0.138848343621642
"150",2023,0.130570653189932
"150",2024,0.121485067188109
"150",2025,0.113002570718735
"150",2026,0.105314101118203
"150",2027,0.0976209279211
"150",2028,0.0913358726479078
"150",2029,0.0851717457816779
"150",2030,0.0789434845416481
"151",1970,0
"151",1971,0
"151",1972,0
"151",1973,0
"151",1974,0
"151",1975,0
"151",1976,1.61895177700643e-05
"151",1977,4.53430832663733e-05
"151",1978,7.17683316407012e-05
"151",1979,0.000115135527192613
"151",1980,0.000210550421040426
"151",1981,0.000334945208687952
"151",1982,0.000586048493535657
"151",1983,0.00111761594157909
"151",1984,0.00205416619568398
"151",1985,0.00339377507689123
"151",1986,0.00564786211496427
"151",1987,0.0115024853642748
"151",1988,0.0193468835932955
"151",1989,0.0308868630916195
"151",1990,0.0545745724358021
"151",1991,0.080311245356845
"151",1992,0.119819431261223
"151",1993,0.167151328987748
"151",1994,0.194872847908595
"151",1995,0.224186304439202
"151",1996,0.261116064093816
"151",1997,0.277974556268367
"151",1998,0.297255708082918
"151",1999,0.309001094752533
"151",2000,0.307671040831544
"151",2001,0.283273293742949
"151",2002,0.267091447112371
"151",2003,0.280575839389709
"151",2004,0.268829286856287
"151",2005,0.253522724250936
"151",2006,0.251382848271178
"151",2007,0.243727126799236
"151",2008,0.239860940523632
"151",2009,0.242935483938389
"151",2010,0.230411207912648
"151",2011,0.22804906703801
"151",2012,0.218647317201474
"151",2013,0.207336628139413
"151",2014,0.205971062268087
"151",2015,0.189482125180769
"151",2016,0.189425309728772
"151",2017,0.183775879618618
"151",2018,0.172061341337679
"151",2019,0.161476325334404
"151",2020,0.153196949665766
"151",2021,0.142055426849412
"151",2022,0.132909115338237
"151",2023,0.124905962599041
"151",2024,0.116381966169416
"151",2025,0.108016382788156
"151",2026,0.100310370840014
"151",2027,0.0934351899877787
"151",2028,0.0861028962408151
"151",2029,0.0794151986567798
"151",2030,0.073484970316285
"152",1970,0
"152",1971,0
"152",1972,0
"152",1973,0
"152",1974,0
"152",1975,0
"152",1976,8.26292784060397e-06
"152",1977,2.15350685798216e-05
"152",1978,4.46437735182795e-05
"152",1979,8.34076579143607e-05
"152",1980,0.000153833165659674
"152",1981,0.000321373401017496
"152",1982,0.000563360636463538
"152",1983,0.00107419917276458
"152",1984,0.00201340401861374
"152",1985,0.00368506405649048
"152",1986,0.00700272928843517
"152",1987,0.0137764032533259
"152",1988,0.0204276246862753
"152",1989,0.0360184666705246
"152",1990,0.0574016735721875
"152",1991,0.0837562192936398
"152",1992,0.12762469757614
"152",1993,0.176981511795799
"152",1994,0.194119113490661
"152",1995,0.231988720488277
"152",1996,0.259285882734623
"152",1997,0.273030306995732
"152",1998,0.288860163792996
"152",1999,0.267741350827085
"152",2000,0.266459953060972
"152",2001,0.282463668316866
"152",2002,0.261541363092334
"152",2003,0.266880087433723
"152",2004,0.245930556139865
"152",2005,0.231212250324042
"152",2006,0.224227889265449
"152",2007,0.223717677058917
"152",2008,0.213698392036681
"152",2009,0.204376618635147
"152",2010,0.204144786293661
"152",2011,0.198653905904808
"152",2012,0.187484646357134
"152",2013,0.18040808470764
"152",2014,0.171891620834128
"152",2015,0.161944167780952
"152",2016,0.157329757810448
"152",2017,0.147980308462006
"152",2018,0.138366935418336
"152",2019,0.128915457755585
"152",2020,0.119846052150876
"152",2021,0.111149900274036
"152",2022,0.103400387436733
"152",2023,0.0956689923449139
"152",2024,0.0887348069619187
"152",2025,0.0832600811248901
"152",2026,0.0775264772177573
"152",2027,0.0720963795777327
"152",2028,0.0668025236457707
"152",2029,0.0624638274361307
"152",2030,0.057520069150324
"153",1970,0
"153",1971,0
"153",1972,0
"153",1973,0
"153",1974,0
"153",1975,0
"153",1976,7.2725995466811e-06
"153",1977,1.88196321611168e-05
"153",1978,3.60455634637174e-05
"153",1979,6.17837249762626e-05
"153",1980,0.000110047633090488
"153",1981,0.000215105170246168
"153",1982,0.000409755853435217
"153",1983,0.00077591558313421
"153",1984,0.00160284911612633
"153",1985,0.00278203312593162
"153",1986,0.00523347247478662
"153",1987,0.0102737556944854
"153",1988,0.0198503871645968
"153",1989,0.0336607631035348
"153",1990,0.0556712452415563
"153",1991,0.0868022260372638
"153",1992,0.119309011454801
"153",1993,0.172135165688786
"153",1994,0.193450846584878
"153",1995,0.238807169074004
"153",1996,0.266249358452399
"153",1997,0.279828256490964
"153",1998,0.300358080712108
"153",1999,0.318985055955263
"153",2000,0.296816686061528
"153",2001,0.304604767650228
"153",2002,0.297849023966754
"153",2003,0.284596415376076
"153",2004,0.262975560896139
"153",2005,0.267228513088367
"153",2006,0.258034158025751
"153",2007,0.257422326427559
"153",2008,0.250882837111232
"153",2009,0.243787189619125
"153",2010,0.24940325759782
"153",2011,0.240763019676299
"153",2012,0.224442599943011
"153",2013,0.221469190079928
"153",2014,0.206846284990488
"153",2015,0.20299891460466
"153",2016,0.190476188559304
"153",2017,0.185135204804827
"153",2018,0.173323652992036
"153",2019,0.16273789901815
"153",2020,0.15270254443341
"153",2021,0.142716117656624
"153",2022,0.133171559154105
"153",2023,0.124116363096654
"153",2024,0.116324321040469
"153",2025,0.109069542651039
"153",2026,0.102130933559942
"153",2027,0.095960134756881
"153",2028,0.0904709168381724
"153",2029,0.0845759811075774
"153",2030,0.0788036324226642
"154",1970,0
"154",1971,0
"154",1972,0
"154",1973,0
"154",1974,0
"154",1975,0
"154",1976,1.19550008197486e-05
"154",1977,2.93367700402728e-05
"154",1978,6.06384507511603e-05
"154",1979,0.000112239135486235
"154",1980,0.000205113753406018
"154",1981,0.000401180514890723
"154",1982,0.000740317181387049
"154",1983,0.0012871506845097
"154",1984,0.00236583149453181
"154",1985,0.00480290355966948
"154",1986,0.00834771664427362
"154",1987,0.0145959433296961
"154",1988,0.0251795511457896
"154",1989,0.0421961411765445
"154",1990,0.0598884506898251
"154",1991,0.0931005567285219
"154",1992,0.119743401528318
"154",1993,0.16881286329452
"154",1994,0.188346101473853
"154",1995,0.212096431508226
"154",1996,0.255664087162664
"154",1997,0.274449829268832
"154",1998,0.289740567970523
"154",1999,0.293157029985689
"154",2000,0.301810047550279
"154",2001,0.297352012993868
"154",2002,0.309233338239219
"154",2003,0.286414973375355
"154",2004,0.299736669903784
"154",2005,0.276200508426903
"154",2006,0.267722561402623
"154",2007,0.270359499934061
"154",2008,0.261635704498742
"154",2009,0.260446028415945
"154",2010,0.251306797436395
"154",2011,0.244902703989792
"154",2012,0.245215090956973
"154",2013,0.241360232336056
"154",2014,0.230767102030353
"154",2015,0.225429984993378
"154",2016,0.212536391079984
"154",2017,0.204184691441751
"154",2018,0.194857406893364
"154",2019,0.184964968883513
"154",2020,0.175571079578277
"154",2021,0.166020323221017
"154",2022,0.155420487368451
"154",2023,0.145222870514576
"154",2024,0.138492274828987
"154",2025,0.129491262009364
"154",2026,0.121709665531492
"154",2027,0.115801409754108
"154",2028,0.109699272795692
"154",2029,0.101790042562559
"154",2030,0.0963511180638777
